Date,Category,Campaign Name,Impressions,Clicks,Conversions,Revenue,Cost,Daily Budget,,,,,,,,,,,,,,,
5/28/20,Pets,Pets - Campaign 1,36941,247,12,85.54,49.64,300,,,,,,,,,,,,,,,
5/30/20,Pets,Pets - Campaign 1,39123,401,31,227.78,148.65,300,,,,,,,,,,,,,,,
6/4/20,Pets,Pets - Campaign 1,41426,375,23,148.92,153.33,300,,,,,,,,,,,,,,,
10/14/20,Pets,Pets - Campaign 1,26135,267,11,88.73,70.12,300,,,,,,,,,,,,,,,
10/15/20,Pets,Pets - Campaign 1,20048,238,17,146.64,69.64,300,,,,,,,,,,,,,,,
10/28/20,Pets,Pets - Campaign 1,22554,304,21,209.46,91.49,300,,,,,,,,,,,,,,,
10/29/20,Pets,Pets - Campaign 1,26606,262,16,116.79,74.7,300,,,,,,,,,,,,,,,
10/30/20,Pets,Pets - Campaign 1,26585,242,16,88.72,70.84,300,,,,,,,,,,,,,,,
10/31/20,Pets,Pets - Campaign 1,23402,253,16,84.61,66.64,300,,,,,,,,,,,,,,,
11/1/20,Pets,Pets - Campaign 1,29245,311,20,59.89,84.8,300,,,,,,,,,,,,,,,
8/31/20,Pets,Pets - Campaign 1,39743,362,13,115.09,77.24,300,,,,,,,,,,,,,,,
9/1/20,Pets,Pets - Campaign 1,32218,294,13,58.29,62.96,300,,,,,,,,,,,,,,,
9/2/20,Pets,Pets - Campaign 1,28565,281,11,84.15,54.42,300,,,,,,,,,,,,,,,
9/3/20,Pets,Pets - Campaign 1,26741,310,12,107.97,63.81,300,,,,,,,,,,,,,,,
9/17/20,Pets,Pets - Campaign 1,29888,340,19,105.81,118.59,300,,,,,,,,,,,,,,,
9/18/20,Pets,Pets - Campaign 1,23629,280,15,157.79,89.72,300,,,,,,,,,,,,,,,
9/19/20,Pets,Pets - Campaign 1,24845,331,14,129.59,110.86,300,,,,,,,,,,,,,,,
6/6/20,Pets,Pets - Campaign 1,44922,428,32,245.24,176.16,300,,,,,,,,,,,,,,,
6/13/20,Pets,Pets - Campaign 1,46480,443,29,209.96,169.55,300,,,,,,,,,,,,,,,
6/15/20,Pets,Pets - Campaign 1,40033,393,25,198.73,145.7,300,,,,,,,,,,,,,,,
6/22/20,Pets,Pets - Campaign 1,41048,386,23,165.01,141.64,300,,,,,,,,,,,,,,,
6/24/20,Pets,Pets - Campaign 1,33028,291,13,72.46,87.25,300,,,,,,,,,,,,,,,
6/29/20,Pets,Pets - Campaign 1,41655,323,13,116.85,97.02,300,,,,,,,,,,,,,,,
7/1/20,Pets,Pets - Campaign 1,37830,278,15,128.47,83.41,300,,,,,,,,,,,,,,,
11/14/20,Pets,Pets - Campaign 1,20014,258,21,192.43,68.34,300,,,,,,,,,,,,,,,
11/15/20,Pets,Pets - Campaign 1,20984,289,17,203.34,76.52,300,,,,,,,,,,,,,,,
11/16/20,Pets,Pets - Campaign 1,21434,238,17,106.91,68.23,300,,,,,,,,,,,,,,,
11/17/20,Pets,Pets - Campaign 1,19464,218,15,130.93,54.96,300,,,,,,,,,,,,,,,
12/1/20,Pets,Pets - Campaign 1,30512,260,21,90.17,84.9,300,,,,,,,,,,,,,,,
12/2/20,Pets,Pets - Campaign 1,28514,278,27,267,99.23,300,,,,,,,,,,,,,,,
12/3/20,Pets,Pets - Campaign 1,19914,247,15,173.4,79.01,300,,,,,,,,,,,,,,,
12/4/20,Pets,Pets - Campaign 1,20297,264,23,100.42,90.1,300,,,,,,,,,,,,,,,
9/20/20,Pets,Pets - Campaign 1,26445,365,18,190.63,131.22,300,,,,,,,,,,,,,,,
10/3/20,Pets,Pets - Campaign 1,26916,362,23,201.53,106.16,300,,,,,,,,,,,,,,,
10/4/20,Pets,Pets - Campaign 1,27929,369,18,99.9,109.4,300,,,,,,,,,,,,,,,
10/5/20,Pets,Pets - Campaign 1,30214,342,11,54.24,93.96,300,,,,,,,,,,,,,,,
10/6/20,Pets,Pets - Campaign 1,29186,329,15,135.69,102.75,300,,,,,,,,,,,,,,,
12/17/20,Pets,Pets - Campaign 1,38354,343,21,174.03,100.22,300,,,,,,,,,,,,,,,
12/18/20,Pets,Pets - Campaign 1,37619,352,24,187.68,101.45,300,,,,,,,,,,,,,,,
12/19/20,Pets,Pets - Campaign 1,45677,434,33,235.38,129.59,300,,,,,,,,,,,,,,,
12/20/20,Pets,Pets - Campaign 1,54870,471,31,258.21,143.94,300,,,,,,,,,,,,,,,
12/21/20,Pets,Pets - Campaign 1,50901,402,23,195.07,113.43,300,,,,,,,,,,,,,,,
7/8/20,Pets,Pets - Campaign 1,45210,298,15,99.61,84.07,300,,,,,,,,,,,,,,,
7/10/20,Pets,Pets - Campaign 1,33366,226,16,149.34,62.05,300,,,,,,,,,,,,,,,
7/17/20,Pets,Pets - Campaign 1,35686,246,10,114.5,72.53,300,,,,,,,,,,,,,,,
7/19/20,Pets,Pets - Campaign 1,37449,338,21,184.86,96.45,300,,,,,,,,,,,,,,,
7/24/20,Pets,Pets - Campaign 1,31068,233,12,102.34,58.29,300,,,,,,,,,,,,,,,
7/26/20,Pets,Pets - Campaign 1,39041,318,17,122.66,84.02,300,,,,,,,,,,,,,,,
10/20/20,Pets,Pets - Campaign 1,26814,239,15,142,60.77,300,,,,,,,,,,,,,,,
10/21/20,Pets,Pets - Campaign 1,28049,248,13,147.37,64.28,300,,,,,,,,,,,,,,,
10/22/20,Pets,Pets - Campaign 1,22933,245,12,94.15,64.6,300,,,,,,,,,,,,,,,
10/23/20,Pets,Pets - Campaign 1,20910,266,15,174.59,77.88,300,,,,,,,,,,,,,,,
11/6/20,Pets,Pets - Campaign 1,21262,236,7,67.36,70.12,300,,,,,,,,,,,,,,,
11/7/20,Pets,Pets - Campaign 1,22347,291,18,112.92,92.62,300,,,,,,,,,,,,,,,
11/8/20,Pets,Pets - Campaign 1,26351,351,21,58.36,109.01,300,,,,,,,,,,,,,,,
11/9/20,Pets,Pets - Campaign 1,26860,273,17,99.43,77.46,300,,,,,,,,,,,,,,,
8/2/20,Pets,Pets - Campaign 1,42322,318,9,61.46,73.89,300,,,,,,,,,,,,,,,
8/4/20,Pets,Pets - Campaign 1,33467,242,10,89.43,65.26,300,,,,,,,,,,,,,,,
8/11/20,Pets,Pets - Campaign 1,37044,333,10,63.36,67.57,300,,,,,,,,,,,,,,,
8/13/20,Pets,Pets - Campaign 1,28474,327,9,126.82,63.87,300,,,,,,,,,,,,,,,
8/18/20,Pets,Pets - Campaign 1,30782,322,13,140.23,66.31,300,,,,,,,,,,,,,,,
8/20/20,Pets,Pets - Campaign 1,24205,303,12,56.48,57.16,300,,,,,,,,,,,,,,,
8/22/20,Pets,Pets - Campaign 1,30632,362,19,176.07,80.31,300,,,,,,,,,,,,,,,
11/22/20,Pets,Pets - Campaign 1,25826,293,20,216.33,89.98,300,,,,,,,,,,,,,,,
11/23/20,Pets,Pets - Campaign 1,25407,265,18,181.77,77.87,300,,,,,,,,,,,,,,,
11/24/20,Pets,Pets - Campaign 1,24622,273,19,130.22,81.65,300,,,,,,,,,,,,,,,
11/25/20,Pets,Pets - Campaign 1,20420,227,16,163.33,70.29,300,,,,,,,,,,,,,,,
11/26/20,Pets,Pets - Campaign 1,16848,225,24,221.24,70.36,300,,,,,,,,,,,,,,,
8/27/20,Pets,Pets - Campaign 1,30036,296,12,105.2,62.3,300,,,,,,,,,,,,,,,
8/29/20,Pets,Pets - Campaign 1,35760,330,11,113.14,69.36,300,,,,,,,,,,,,,,,
9/5/20,Pets,Pets - Campaign 1,26525,294,17,195.67,76.43,300,,,,,,,,,,,,,,,
9/7/20,Pets,Pets - Campaign 1,32517,267,19,224.81,66.74,300,,,,,,,,,,,,,,,
9/12/20,Pets,Pets - Campaign 1,26030,296,19,180.45,102.5,300,,,,,,,,,,,,,,,
9/14/20,Pets,Pets - Campaign 1,34788,295,22,205.31,94.67,300,,,,,,,,,,,,,,,
9/16/20,Pets,Pets - Campaign 1,31596,321,22,215.32,114.1,300,,,,,,,,,,,,,,,
12/9/20,Pets,Pets - Campaign 1,35237,363,25,221.45,120.5,300,,,,,,,,,,,,,,,
12/10/20,Pets,Pets - Campaign 1,35115,376,24,204.11,131.25,300,,,,,,,,,,,,,,,
12/11/20,Pets,Pets - Campaign 1,35948,372,26,224.22,122.39,300,,,,,,,,,,,,,,,
12/12/20,Pets,Pets - Campaign 1,45240,417,31,264.99,140.43,300,,,,,,,,,,,,,,,
12/26/20,Pets,Pets - Campaign 1,50386,634,50,477.56,240.46,300,,,,,,,,,,,,,,,
12/27/20,Pets,Pets - Campaign 1,54088,642,47,427.32,243.32,300,,,,,,,,,,,,,,,
12/28/20,Pets,Pets - Campaign 1,56434,534,35,318.71,190.56,300,,,,,,,,,,,,,,,
12/29/20,Pets,Pets - Campaign 1,60099,548,37,333.84,202.68,300,,,,,,,,,,,,,,,
9/21/20,Pets,Pets - Campaign 1,29990,346,21,0,121.12,300,,,,,,,,,,,,,,,
9/23/20,Pets,Pets - Campaign 1,28254,344,21,191.8,115.5,300,,,,,,,,,,,,,,,
9/30/20,Pets,Pets - Campaign 1,25495,290,8,0,70.95,300,,,,,,,,,,,,,,,
10/2/20,Pets,Pets - Campaign 1,20682,240,6,121.69,65.17,300,,,,,,,,,,,,,,,
10/7/20,Pets,Pets - Campaign 1,26637,293,17,104.55,87.29,300,,,,,,,,,,,,,,,
10/9/20,Pets,Pets - Campaign 1,20191,227,14,142.04,68.52,300,,,,,,,,,,,,,,,
10/11/20,Pets,Pets - Campaign 1,29711,326,20,136.98,92.35,300,,,,,,,,,,,,,,,
10/16/20,Pets,Pets - Campaign 1,19189,209,9,68.25,53.07,300,,,,,,,,,,,,,,,
10/18/20,Pets,Pets - Campaign 1,30142,335,17,0,98.42,300,,,,,,,,,,,,,,,
10/25/20,Pets,Pets - Campaign 1,25702,323,24,206.89,97.17,300,,,,,,,,,,,,,,,
10/27/20,Pets,Pets - Campaign 1,18543,246,11,96.64,64.72,300,,,,,,,,,,,,,,,
11/3/20,Pets,Pets - Campaign 1,20885,199,11,171,51.12,300,,,,,,,,,,,,,,,
11/5/20,Pets,Pets - Campaign 1,22989,215,16,137.4,67.36,300,,,,,,,,,,,,,,,
11/10/20,Pets,Pets - Campaign 1,23239,255,17,210,75.62,300,,,,,,,,,,,,,,,
11/12/20,Pets,Pets - Campaign 1,21917,272,10,71.24,70.53,300,,,,,,,,,,,,,,,
11/19/20,Pets,Pets - Campaign 1,22573,231,14,79.42,71.93,300,,,,,,,,,,,,,,,
11/21/20,Pets,Pets - Campaign 1,24323,252,17,103.88,75.37,300,,,,,,,,,,,,,,,
11/28/20,Pets,Pets - Campaign 1,24603,279,24,208.62,92.56,300,,,,,,,,,,,,,,,
11/30/20,Pets,Pets - Campaign 1,35104,297,21,150.13,93.72,300,,,,,,,,,,,,,,,
12/5/20,Pets,Pets - Campaign 1,20999,326,20,215.03,102.6,300,,,,,,,,,,,,,,,
12/7/20,Pets,Pets - Campaign 1,45732,417,26,167.14,137.35,300,,,,,,,,,,,,,,,
12/14/20,Pets,Pets - Campaign 1,42058,419,26,226.55,142.39,300,,,,,,,,,,,,,,,
12/16/20,Pets,Pets - Campaign 1,48206,422,25,229.31,140.61,300,,,,,,,,,,,,,,,
12/23/20,Pets,Pets - Campaign 1,43438,438,25,235.09,144.93,300,,,,,,,,,,,,,,,
12/25/20,Pets,Pets - Campaign 1,26490,447,42,372.22,155.58,300,,,,,,,,,,,,,,,
12/30/20,Pets,Pets - Campaign 1,53449,452,30,301.97,154.12,300,,,,,,,,,,,,,,,
9/22/20,Pets,Pets - Campaign 1,27824,344,23,121.29,122.92,300,,,,,,,,,,,,,,,
9/24/20,Pets,Pets - Campaign 1,31307,361,19,142.67,110.31,300,,,,,,,,,,,,,,,
9/29/20,Pets,Pets - Campaign 1,23893,309,17,129.88,86.03,300,,,,,,,,,,,,,,,
10/1/20,Pets,Pets - Campaign 1,25144,271,8,88.57,70.27,300,,,,,,,,,,,,,,,
10/8/20,Pets,Pets - Campaign 1,21803,248,10,0,70.79,300,,,,,,,,,,,,,,,
10/10/20,Pets,Pets - Campaign 1,28340,344,25,146.11,102.62,300,,,,,,,,,,,,,,,
10/17/20,Pets,Pets - Campaign 1,23917,270,24,285.13,80.94,300,,,,,,,,,,,,,,,
10/19/20,Pets,Pets - Campaign 1,28128,263,14,96.42,70.1,300,,,,,,,,,,,,,,,
10/24/20,Pets,Pets - Campaign 1,23720,298,25,194.43,90.89,300,,,,,,,,,,,,,,,
10/26/20,Pets,Pets - Campaign 1,24252,294,19,149.23,80.98,300,,,,,,,,,,,,,,,
11/2/20,Pets,Pets - Campaign 1,26050,240,11,68.96,62.8,300,,,,,,,,,,,,,,,
11/4/20,Pets,Pets - Campaign 1,19375,189,8,80.02,49.61,300,,,,,,,,,,,,,,,
11/11/20,Pets,Pets - Campaign 1,24893,295,12,108.8,81.65,300,,,,,,,,,,,,,,,
11/13/20,Pets,Pets - Campaign 1,20525,253,11,125.69,62.99,300,,,,,,,,,,,,,,,
11/18/20,Pets,Pets - Campaign 1,23992,249,16,172.03,70.62,300,,,,,,,,,,,,,,,
11/20/20,Pets,Pets - Campaign 1,19156,219,14,102.07,60.36,300,,,,,,,,,,,,,,,
11/27/20,Pets,Pets - Campaign 1,20013,217,13,127.74,67.24,300,,,,,,,,,,,,,,,
11/29/20,Pets,Pets - Campaign 1,37256,364,26,204.26,116.85,300,,,,,,,,,,,,,,,
12/6/20,Pets,Pets - Campaign 1,45509,514,35,203.79,181.43,300,,,,,,,,,,,,,,,
12/8/20,Pets,Pets - Campaign 1,38306,356,21,147.82,111.84,300,,,,,,,,,,,,,,,
12/13/20,Pets,Pets - Campaign 1,44594,455,33,278.18,149.96,300,,,,,,,,,,,,,,,
12/15/20,Pets,Pets - Campaign 1,41394,395,25,208.17,133.65,300,,,,,,,,,,,,,,,
12/22/20,Pets,Pets - Campaign 1,52757,429,21,171.36,131.15,300,,,,,,,,,,,,,,,
12/24/20,Pets,Pets - Campaign 1,37456,433,32,242.9,149.16,300,,,,,,,,,,,,,,,
12/31/20,Pets,Pets - Campaign 1,49998,471,40,363.15,165.67,300,,,,,,,,,,,,,,,
1/1/20,Law,Law - Campaign 1,7307,193,6,84.57,41.09,150,,,,,,,,,,,,,,,
1/2/20,Law,Law - Campaign 1,7300,239,11,160.28,58.55,150,,,,,,,,,,,,,,,
1/3/20,Law,Law - Campaign 1,6857,207,5,78.34,53.17,150,,,,,,,,,,,,,,,
1/4/20,Law,Law - Campaign 1,6045,187,6,90.44,47.02,150,,,,,,,,,,,,,,,
1/5/20,Law,Law - Campaign 1,6777,217,6,52.37,50.47,150,,,,,,,,,,,,,,,
1/6/20,Law,Law - Campaign 1,9439,269,11,130.43,76.54,150,,,,,,,,,,,,,,,
1/7/20,Law,Law - Campaign 1,8036,217,8,80.44,53.68,150,,,,,,,,,,,,,,,
1/8/20,Law,Law - Campaign 1,6746,206,7,101.93,53.23,150,,,,,,,,,,,,,,,
1/9/20,Law,Law - Campaign 1,7760,230,6,63.22,60.07,150,,,,,,,,,,,,,,,
1/10/20,Law,Law - Campaign 1,7526,210,9,118.63,54.69,150,,,,,,,,,,,,,,,
1/11/20,Law,Law - Campaign 1,6243,152,4,26.41,32.85,150,,,,,,,,,,,,,,,
1/12/20,Law,Law - Campaign 1,6835,146,3,38.95,29.34,150,,,,,,,,,,,,,,,
1/13/20,Law,Law - Campaign 1,8663,219,6,52.64,50.81,150,,,,,,,,,,,,,,,
1/14/20,Law,Law - Campaign 1,8027,207,7,103.77,49.64,150,,,,,,,,,,,,,,,
1/15/20,Law,Law - Campaign 1,7879,174,7,123.13,36.59,150,,,,,,,,,,,,,,,
1/16/20,Law,Law - Campaign 1,9123,171,3,50.3,29.35,150,,,,,,,,,,,,,,,
1/17/20,Law,Law - Campaign 1,6308,129,5,65.9,28.91,150,,,,,,,,,,,,,,,
1/18/20,Law,Law - Campaign 1,6628,132,4,54.36,32.22,150,,,,,,,,,,,,,,,
1/19/20,Law,Law - Campaign 1,7751,155,8,96.05,35.1,150,,,,,,,,,,,,,,,
1/20/20,Law,Law - Campaign 1,5725,181,6,57.77,40.84,150,,,,,,,,,,,,,,,
1/21/20,Law,Law - Campaign 1,5847,195,8,127.31,53.66,150,,,,,,,,,,,,,,,
1/22/20,Law,Law - Campaign 1,7111,206,7,107.1,59.77,150,,,,,,,,,,,,,,,
1/23/20,Law,Law - Campaign 1,7578,218,7,84.76,63.77,150,,,,,,,,,,,,,,,
1/24/20,Law,Law - Campaign 1,6159,183,6,88.94,51.31,150,,,,,,,,,,,,,,,
1/25/20,Law,Law - Campaign 1,4981,147,8,104.11,35.86,150,,,,,,,,,,,,,,,
1/26/20,Law,Law - Campaign 1,4494,141,4,26.44,24.17,150,,,,,,,,,,,,,,,
1/27/20,Law,Law - Campaign 1,5618,189,5,60.99,47.98,150,,,,,,,,,,,,,,,
1/28/20,Law,Law - Campaign 1,5370,178,4,77.12,39.18,150,,,,,,,,,,,,,,,
1/29/20,Law,Law - Campaign 1,5253,207,8,114.35,47.07,150,,,,,,,,,,,,,,,
1/30/20,Law,Law - Campaign 1,4856,215,6,94.85,46.06,150,,,,,,,,,,,,,,,
1/31/20,Law,Law - Campaign 1,3587,167,5,53.44,33.05,150,,,,,,,,,,,,,,,
2/1/20,Law,Law - Campaign 1,3563,160,7,105.63,35.48,150,,,,,,,,,,,,,,,
2/2/20,Law,Law - Campaign 1,3557,147,6,107.31,31.46,150,,,,,,,,,,,,,,,
2/3/20,Law,Law - Campaign 1,3969,191,5,88.52,49.01,150,,,,,,,,,,,,,,,
2/4/20,Law,Law - Campaign 1,4913,249,7,64.09,58.7,150,,,,,,,,,,,,,,,
2/5/20,Law,Law - Campaign 1,3222,168,6,46.68,37.93,150,,,,,,,,,,,,,,,
2/6/20,Law,Law - Campaign 1,3362,165,5,61.98,38.22,150,,,,,,,,,,,,,,,
2/7/20,Law,Law - Campaign 1,3731,154,7,78.16,37.59,150,,,,,,,,,,,,,,,
2/8/20,Law,Law - Campaign 1,3477,135,4,22.64,30.3,150,,,,,,,,,,,,,,,
2/9/20,Law,Law - Campaign 1,3720,148,5,64.62,30.21,150,,,,,,,,,,,,,,,
2/10/20,Law,Law - Campaign 1,4582,201,6,32.11,46.61,150,,,,,,,,,,,,,,,
2/11/20,Law,Law - Campaign 1,4167,190,6,97.39,43.39,150,,,,,,,,,,,,,,,
2/12/20,Law,Law - Campaign 1,4384,203,9,101.8,65.9,150,,,,,,,,,,,,,,,
2/13/20,Law,Law - Campaign 1,4736,212,8,102.46,70.94,150,,,,,,,,,,,,,,,
2/14/20,Law,Law - Campaign 1,4545,187,6,88.87,60.55,150,,,,,,,,,,,,,,,
2/15/20,Law,Law - Campaign 1,4760,197,8,90.46,57.52,150,,,,,,,,,,,,,,,
2/16/20,Law,Law - Campaign 1,4773,164,5,77.99,44.24,150,,,,,,,,,,,,,,,
2/17/20,Law,Law - Campaign 1,6150,243,10,141.74,84.24,150,,,,,,,,,,,,,,,
2/18/20,Law,Law - Campaign 1,4432,198,9,143.33,76.99,150,,,,,,,,,,,,,,,
2/19/20,Law,Law - Campaign 1,4539,182,7,56.69,60.95,150,,,,,,,,,,,,,,,
2/20/20,Law,Law - Campaign 1,4092,167,8,85.56,53.12,150,,,,,,,,,,,,,,,
2/21/20,Law,Law - Campaign 1,4206,126,5,33.67,37.78,150,,,,,,,,,,,,,,,
2/22/20,Law,Law - Campaign 1,3316,100,4,59.35,21.59,150,,,,,,,,,,,,,,,
2/23/20,Law,Law - Campaign 1,4077,119,5,69.55,28.33,150,,,,,,,,,,,,,,,
2/24/20,Law,Law - Campaign 1,4874,143,6,70.71,43.25,150,,,,,,,,,,,,,,,
2/25/20,Law,Law - Campaign 1,4615,144,7,112.62,40.7,150,,,,,,,,,,,,,,,
2/26/20,Law,Law - Campaign 1,4313,152,6,64.53,42.17,150,,,,,,,,,,,,,,,
2/27/20,Law,Law - Campaign 1,5271,187,8,104.89,65.45,150,,,,,,,,,,,,,,,
2/28/20,Law,Law - Campaign 1,5940,164,6,95.55,58.96,150,,,,,,,,,,,,,,,
2/29/20,Law,Law - Campaign 1,5369,126,7,100.71,41.4,150,,,,,,,,,,,,,,,
3/1/20,Law,Law - Campaign 1,5351,130,7,75.64,38.39,150,,,,,,,,,,,,,,,
3/2/20,Law,Law - Campaign 1,7124,192,11,112.13,71.29,150,,,,,,,,,,,,,,,
3/3/20,Law,Law - Campaign 1,6075,174,8,84.62,62.77,150,,,,,,,,,,,,,,,
3/4/20,Law,Law - Campaign 1,5828,193,8,147.62,68.71,150,,,,,,,,,,,,,,,
3/5/20,Law,Law - Campaign 1,4969,169,10,77.08,62.43,150,,,,,,,,,,,,,,,
3/6/20,Law,Law - Campaign 1,5061,159,8,102.7,60.46,150,,,,,,,,,,,,,,,
3/7/20,Law,Law - Campaign 1,5827,179,9,109.81,58.75,150,,,,,,,,,,,,,,,
3/8/20,Law,Law - Campaign 1,6695,175,8,72.69,52.52,150,,,,,,,,,,,,,,,
3/9/20,Law,Law - Campaign 1,7393,202,9,162.76,64.79,150,,,,,,,,,,,,,,,
3/10/20,Law,Law - Campaign 1,5883,158,7,86.55,59.25,150,,,,,,,,,,,,,,,
3/11/20,Law,Law - Campaign 1,5363,163,7,100.3,59.46,150,,,,,,,,,,,,,,,
3/12/20,Law,Law - Campaign 1,6832,159,8,105.78,55.55,150,,,,,,,,,,,,,,,
3/13/20,Law,Law - Campaign 1,6731,143,6,91.7,45.93,150,,,,,,,,,,,,,,,
3/14/20,Law,Law - Campaign 1,6696,136,5,79.31,39.84,150,,,,,,,,,,,,,,,
3/15/20,Law,Law - Campaign 1,8727,169,4,49.33,41.89,150,,,,,,,,,,,,,,,
3/16/20,Law,Law - Campaign 1,8919,222,10,166.68,68.76,150,,,,,,,,,,,,,,,
3/17/20,Law,Law - Campaign 1,8516,236,7,70.02,67.81,150,,,,,,,,,,,,,,,
3/18/20,Law,Law - Campaign 1,8318,210,11,160.09,65.76,150,,,,,,,,,,,,,,,
3/19/20,Law,Law - Campaign 1,7966,189,11,97.38,59.73,150,,,,,,,,,,,,,,,
3/20/20,Law,Law - Campaign 1,8329,195,8,108.4,64.95,150,,,,,,,,,,,,,,,
3/21/20,Law,Law - Campaign 1,9763,234,9,127.6,67.76,150,,,,,,,,,,,,,,,
3/22/20,Law,Law - Campaign 1,12579,280,10,129.17,77.68,150,,,,,,,,,,,,,,,
3/23/20,Law,Law - Campaign 1,16140,389,15,181.47,128.93,150,,,,,,,,,,,,,,,
3/24/20,Law,Law - Campaign 1,16085,426,16,150.61,135.26,150,,,,,,,,,,,,,,,
3/25/20,Law,Law - Campaign 1,14614,352,8,70.97,100.24,150,,,,,,,,,,,,,,,
3/26/20,Law,Law - Campaign 1,11207,294,13,161.39,82.56,150,,,,,,,,,,,,,,,
3/27/20,Law,Law - Campaign 1,8199,238,14,148.44,63.56,150,,,,,,,,,,,,,,,
3/28/20,Law,Law - Campaign 1,8703,208,9,189.66,53.28,150,,,,,,,,,,,,,,,
3/29/20,Law,Law - Campaign 1,10309,245,10,83.46,64.09,150,,,,,,,,,,,,,,,
3/30/20,Law,Law - Campaign 1,13628,366,16,191.55,109.17,150,,,,,,,,,,,,,,,
3/31/20,Law,Law - Campaign 1,22732,595,10,120.59,112.42,150,,,,,,,,,,,,,,,
4/1/20,Law,Law - Campaign 1,10764,257,7,114.34,89.67,150,,,,,,,,,,,,,,,
4/2/20,Law,Law - Campaign 1,10692,268,13,217.05,95.23,150,,,,,,,,,,,,,,,
4/3/20,Law,Law - Campaign 1,9461,251,11,183.12,87.1,150,,,,,,,,,,,,,,,
4/4/20,Law,Law - Campaign 1,10137,265,8,84.84,72.06,150,,,,,,,,,,,,,,,
4/5/20,Law,Law - Campaign 1,10580,229,7,56.99,58.76,150,,,,,,,,,,,,,,,
4/6/20,Law,Law - Campaign 1,9783,275,10,111.71,76.17,150,,,,,,,,,,,,,,,
4/7/20,Law,Law - Campaign 1,7888,240,7,119.98,60.64,150,,,,,,,,,,,,,,,
4/8/20,Law,Law - Campaign 1,7499,202,7,75.61,48.06,150,,,,,,,,,,,,,,,
4/9/20,Law,Law - Campaign 1,9397,222,8,92.48,53.35,150,,,,,,,,,,,,,,,
4/10/20,Law,Law - Campaign 1,8674,200,9,115.94,48.47,150,,,,,,,,,,,,,,,
4/11/20,Law,Law - Campaign 1,7435,188,8,93.5,43.67,150,,,,,,,,,,,,,,,
4/12/20,Law,Law - Campaign 1,6591,140,3,52.49,28.83,150,,,,,,,,,,,,,,,
4/13/20,Law,Law - Campaign 1,11321,312,9,117.34,82.7,150,,,,,,,,,,,,,,,
4/14/20,Law,Law - Campaign 1,10190,300,11,159.02,79.61,150,,,,,,,,,,,,,,,
4/15/20,Law,Law - Campaign 1,8831,284,12,155.62,66.63,150,,,,,,,,,,,,,,,
4/16/20,Law,Law - Campaign 1,8335,255,11,164.05,67.46,150,,,,,,,,,,,,,,,
4/17/20,Law,Law - Campaign 1,9745,290,9,93.73,72.99,150,,,,,,,,,,,,,,,
4/18/20,Law,Law - Campaign 1,9291,259,10,91.82,65.19,150,,,,,,,,,,,,,,,
4/19/20,Law,Law - Campaign 1,10382,248,7,55.37,60.32,150,,,,,,,,,,,,,,,
4/20/20,Law,Law - Campaign 1,11663,330,10,134.2,95.06,150,,,,,,,,,,,,,,,
4/21/20,Law,Law - Campaign 1,12412,340,11,121.88,105.78,150,,,,,,,,,,,,,,,
4/22/20,Law,Law - Campaign 1,9705,306,12,145.62,87.86,150,,,,,,,,,,,,,,,
4/23/20,Law,Law - Campaign 1,9442,320,9,105.21,86.76,150,,,,,,,,,,,,,,,
4/24/20,Law,Law - Campaign 1,8525,276,9,151.14,78.46,150,,,,,,,,,,,,,,,
4/25/20,Law,Law - Campaign 1,7055,213,7,71,54.77,150,,,,,,,,,,,,,,,
4/26/20,Law,Law - Campaign 1,7084,191,6,78.7,40.16,150,,,,,,,,,,,,,,,
4/27/20,Law,Law - Campaign 1,8976,305,9,93.25,86.61,150,,,,,,,,,,,,,,,
4/28/20,Law,Law - Campaign 1,7579,273,6,73.05,66.56,150,,,,,,,,,,,,,,,
4/29/20,Law,Law - Campaign 1,8304,313,5,81.67,67.6,150,,,,,,,,,,,,,,,
4/30/20,Law,Law - Campaign 1,8074,295,12,131.83,69.06,150,,,,,,,,,,,,,,,
5/1/20,Law,Law - Campaign 1,7476,246,5,45.45,59.92,150,,,,,,,,,,,,,,,
5/2/20,Law,Law - Campaign 1,6354,198,6,38,42.26,150,,,,,,,,,,,,,,,
5/3/20,Law,Law - Campaign 1,8656,269,6,79.96,63.05,150,,,,,,,,,,,,,,,
5/4/20,Law,Law - Campaign 1,8671,286,12,153.92,66.03,150,,,,,,,,,,,,,,,
5/5/20,Law,Law - Campaign 1,7840,271,11,105.01,59.49,150,,,,,,,,,,,,,,,
5/6/20,Law,Law - Campaign 1,7169,260,8,125.91,61.98,150,,,,,,,,,,,,,,,
5/7/20,Law,Law - Campaign 1,7417,288,9,108.38,66.48,150,,,,,,,,,,,,,,,
5/8/20,Law,Law - Campaign 1,8011,268,8,93.37,72.5,150,,,,,,,,,,,,,,,
5/9/20,Law,Law - Campaign 1,7406,240,6,80.99,53.2,150,,,,,,,,,,,,,,,
5/10/20,Law,Law - Campaign 1,6238,185,5,63.62,37.92,150,,,,,,,,,,,,,,,
5/11/20,Law,Law - Campaign 1,7562,276,6,110.26,63.21,150,,,,,,,,,,,,,,,
5/12/20,Law,Law - Campaign 1,6753,280,9,130.79,65.97,150,,,,,,,,,,,,,,,
5/13/20,Law,Law - Campaign 1,7137,294,10,141.67,72.74,150,,,,,,,,,,,,,,,
